user_id,city,age,gender,membership_level,registration_date,phone_number,last_login_date,user_source,remarks
1,深圳,26.0,male,普通,2023-07-30,,2026-02-23,,
2,深圳,18.0,male,普通,2024-04-27,152594078161,2026-02-11,,备注47
3,南昌,,female,黄金,2023-12-29,153534192832,2026-03-19,,
4,南昌,20.0,female,普通,2024-05-19,186724238849,2026-02-27,直接访问,
5,南昌,23.0,male,普通,2024-03-08,163480184514,2026-03-07,自然搜索,备注93
6,南昌,24.0,female,普通,2024-10-23,163095701543,2026-02-08,,备注11
7,南昌,52.0,male,铂金,2023-07-25,164346578713,2026-03-15,自然搜索,
8,南昌,-5.0,male,普通,2024-08-30,186997376311,2026-03-14,直接访问,
9,南昌,59.0,female,黄金,2023-10-05,147731781080,2026-02-05,广告,
10,南昌,21.0,male,普通,2024-01-29,180872343098,2026-03-16,自然搜索,
11,南昌,,male,,2024-02-18,145990916998,2026-03-20,广告,
12,深圳,60.0,female,黄金,2023-09-08,143842513542,2026-03-02,分享链接,
13,南昌,53.0,male,普通,2023-09-18,143534874016,2026-04-03,自然搜索,
14,深圳,46.0,female,普通,2024-11-05,167826204505,2026-03-21,自然搜索,
15,深圳,65.0,male,铂金,2025-03-12,180634216073,2026-02-06,直接访问,
16,南昌,60.0,female,普通,2023-11-02,164501429401,2026-03-14,分享链接,
17,南昌,54.0,male,普通,2023-05-21,172595148465,2026-03-18,,
18,深圳,29.0,female,黄金,2023-08-22,158738721489,2026-02-12,广告,
19,南昌,20.0,female,黄金,2023-08-26,161632016328,2026-03-01,广告,备注16
20,深圳,53.0,female,黄金,2023-09-23,185774348734,2026-02-19,分享链接,
21,南昌,32.0,male,普通,2024-02-06,154909670546,2026-02-11,直接访问,
22,南昌,35.0,male,黄金,2023-12-15,164069901627,2026-03-20,直接访问,
23,深圳,42.0,female,普通,2024/13/01,171100330923,2026-02-22,自然搜索,
24,深圳,28.0,male,普通,2024-05-22,154631931491,2026-02-28,自然搜索,
25,深圳,,male,黄金,2023-06-26,139628498776,2026-02-27,分享链接,
26,南昌,46.0,female,黄金,2024-05-09,181454948083,2026-02-18,直接访问,
27,深圳,49.0,male,普通,2023-08-20,152685574443,2026-03-24,分享链接,
28,南昌,65.0,female,黄金,2024-06-01,,2026-03-19,自然搜索,备注71
29,南昌,49.0,male,普通,2025-02-13,137167190229,2026-03-31,广告,
30,南昌,42.0,female,普通,2025-02-04,178334123281,2026-03-10,直接访问,
31,南昌,63.0,female,普通,2023-08-12,157183242102,2026-02-26,,备注57
32,深圳,35.0,female,普通,2023-07-28,173990490278,2026-02-06,分享链接,
33,深圳,48.0,female,普通,2023-11-16,182807154516,2026-02-12,自然搜索,
34,深圳,,female,黄金,2024-06-16,137093248086,2026-02-11,自然搜索,
35,南昌,63.0,female,普通,2024-11-09,162214658404,2026-02-11,,
36,南昌,48.0,female,普通,2023-08-30,156057662702,2026-02-27,分享链接,备注57
37,深圳,0.0,male,黄金,2024-02-24,184865780913,2026-02-06,分享链接,备注96
38,南昌,63.0,female,普通,2026.13.01,153623869222,2026-02-09,直接访问,
39,南昌,58.0,female,黄金,2023-09-25,152946474367,2026-03-12,,
40,深圳,200.0,male,黄金,2024-08-14,170394210470,2026-02-18,广告,
41,深圳,26.0,female,铂金,2023-11-30,185517123685,2026-03-11,自然搜索,
42,深圳,61.0,female,铂金,2025-03-12,150931746120,2026-03-17,直接访问,
